"recipient_iso","year","emergency_commitments"
"EGY",2013,24.915736
"EGY",2014,49.15956
"EGY",2015,85.853561
"EGY",2016,446.156226
"EGY",2017,39.280868
"EGY",2018,66.471273
"EGY",2019,85.235552
"EGY",2020,93.544717
"EGY",2021,75.651781
"EGY",2022,563.789534
"EGY",2023,54.942247
"EGY",2024,57.577378
"ERI",2008,25.113387
"ERI",2009,47.460557
"ERI",2010,11.482011
"ERI",2011,3.778386
"ERI",2012,4.843259
"ERI",2013,9.89432
"ERI",2014,3.549619
"ERI",2015,3.269564
"ERI",2016,9.129041
"ERI",2017,3.011112
"ERI",2018,11.290979
"ERI",2019,7.148152
"ERI",2020,5.696305
"ERI",2021,2.751919
"ERI",2022,12.022529
"ERI",2023,9.862589
"ERI",2024,11.450022
"ETH",2008,1081.552869
"ETH",2009,878.358333
"ETH",2010,657.341466
"ETH",2011,729.188082
"ETH",2012,430.53797
"ETH",2013,426.341226
"ETH",2014,494.373301
"ETH",2015,586.540725
"ETH",2016,1429.942243
"ETH",2017,1069.086595
"ETH",2018,873.523062
"ETH",2019,1090.0901
"ETH",2020,879.48812
"ETH",2021,1594.515836
"ETH",2022,2631.580703
"ETH",2023,1892.613052
"ETH",2024,1614.629936
"FJI",2008,0.133517
"FJI",2009,5.134414
"FJI",2010,6.469857
"FJI",2011,1.0545
"FJI",2012,13.316731
"FJI",2013,4.563421
"FJI",2014,2.585218
"FJI",2015,2.705443
"FJI",2016,110.010084
"FJI",2017,5.737705
"FJI",2018,6.196557
"FJI",2019,27.548533
"FJI",2020,10.605822
"FJI",2021,27.484992
"FJI",2022,25.320859
"FJI",2023,29.488405
"FJI",2024,27.420441
"FSM",2008,0
"FSM",2009,0.076785
"FSM",2010,0.650706
"FSM",2011,0
"FSM",2012,1.572365
"FSM",2013,1.615179
"FSM",2014,0.990658
"FSM",2015,24.342965
"FSM",2016,28.882201
"FSM",2017,23.82002
"FSM",2018,7.122306
"FSM",2019,10.52235
"FSM",2020,22.72659
"FSM",2021,0.000219
"FSM",2022,5.568259
"FSM",2023,16.318969
"FSM",2024,2.207996
"GAB",2008,0.069808
"GAB",2009,0.064554
"GAB",2010,0.039502
"GAB",2011,0.298232
"GAB",2012,0.029132
"GAB",2013,0.315639
"GAB",2014,0
"GAB",2015,0.67901
"GAB",2016,0.0934
"GAB",2017,0
"GAB",2018,0.040126
"GAB",2019,0.7112
"GAB",2020,3.192967
"GAB",2021,2.021574
"GAB",2022,1.917807
"GAB",2023,0.496079
"GAB",2024,0.438663
"GEO",2008,307.095026
"GEO",2009,97.048261
"GEO",2010,41.554715
"GEO",2011,103.049693
"GEO",2012,17.543717
"GEO",2013,17.91977
"GEO",2014,13.396724
"GEO",2015,3.57293
"GEO",2016,137.458016
"GEO",2017,28.116622
"GEO",2018,23.963224
"GEO",2019,2.893773
"GEO",2020,7.331078
"GEO",2021,5.026127
"GEO",2022,31.617815
"GEO",2023,11.963835
"GEO",2024,3.469876
"GHA",2008,12.047794
"GHA",2009,3.150051
"GHA",2010,3.461288
"GHA",2011,1.170349
"GHA",2012,3.105692
"GHA",2013,4.172232
"GHA",2014,2.718759
"GHA",2015,10.286934
"GHA",2016,0.648979
"GHA",2017,2.122756
"GHA",2018,3.917581
"GHA",2019,17.404976
"GHA",2020,9.754089
"GHA",2021,8.131815
"GHA",2022,182.238339
"GHA",2023,177.092679
"GHA",2024,10.744146
"GIN",2008,10.449912
"GIN",2009,5.53429
"GIN",2010,4.606215
"GIN",2011,9.416394
"GIN",2012,4.495885
"GIN",2013,8.483315
"GIN",2014,64.684824
"GIN",2015,147.364145
"GIN",2016,31.756957
"GIN",2017,11.010353
"GIN",2018,2.766497
"GIN",2019,11.672169
"GIN",2020,6.187524
"GIN",2021,16.928669
"GIN",2022,7.141833
"GIN",2023,69.610356
"GIN",2024,9.544185
"GMB",2008,0.978094
"GMB",2009,0.591933
"GMB",2010,0.904825
"GMB",2011,0.119861
"GMB",2012,2.252187
"GMB",2013,0.340047
"GMB",2014,0.390475
"GMB",2015,1.950485
"GMB",2016,0.488663
"GMB",2017,19.127957
"GMB",2018,0.849589
"GMB",2019,3.882523
"GMB",2020,1.002194
"GMB",2021,1.645231
"GMB",2022,81.225887
"GMB",2023,30.296309
"GMB",2024,33.399823
"GNB",2008,2.348604
"GNB",2009,1.054112
"GNB",2010,1.554282
"GNB",2011,0.976539
"GNB",2012,1.933872
"GNB",2013,1.123888
